Control-6M-Rep1	Control-6M-Rep2	Control-6M-Rep4	Control-6M-Rep6	Control-P21-Rep2	Control-P21-Rep3	Control-P21-Rep4	Control-P21-Rep5	DS-6M-Rep1	DS-6M-Rep2	DS-6M-Rep3	DS-6M-Rep4	DS-6M-Rep5	DS-P21-Rep1	DS-P21-Rep2	DS-P21-Rep3
0.193247813	0.16396125	0.195151938	0.402273063	0.245946688	0.174464188	0.0442414	0.120192813	0.174347938	0.340795125	0.310387438	0.120439438	0.19581725	0.074730769	0.001414498	0.114633875
1.339836875	1.542103125	1.735855625	1.302113125	2.8974525	1.896163125	2.1366725	1.804918125	2.359829375	1.901254375	1.417993125	1.62265625	1.3281125	2.3956275	2.233076875	1.603843125
0.589380625	0.374904	0.401669063	0.131464	0.127346125	0.007636039	0.240152188	0.008944784	0.536596688	0.362058438	0.348834125	0.33448225	0.431296125	0.14203575	0.145768375	0.165469
6.991005	6.4153225	6.17307875	6.654475	8.0403	6.53989875	9.306820625	6.29783	6.323583125	7.51458	7.58597625	7.50716125	6.28099625	6.064115625	5.924699375	5.63135625
32.42185625	34.90455	27.6855375	30.66505	31.62095625	23.7359625	25.45269375	27.65703125	35.09285	29.8316875	31.3394	34.16266875	30.32903125	29.02215	24.5656625	29.9527125
14.8277625	15.76931875	14.50936875	14.95773125	16.6312375	18.245075	18.26453125	15.9694	15.29855625	14.7175	15.634	15.62324375	15.83339375	17.7987875	17.82394375	16.91000625
19.02981875	19.051825	18.57203125	17.06059375	15.080975	15.56210625	16.15166875	16.2937625	26.708175	29.83614375	27.95654375	30.60019375	29.24091875	22.9663	26.00665625	26.04995
43.8865	46.45399375	45.25316875	47.1670875	46.41986875	48.10184375	49.13453125	45.6953	41.92305	46.56165625	47.1670875	49.31801875	48.56498125	46.1680375	46.93545625	49.4980875
0.324354625	0.668862375	0.40289525	0.568998563	0.911177438	0.557125	0.780022813	1.5770675	0.637877188	0.276774	0.907709875	0.557125	0.707321125	0.492169938	0.6817775	0.914684875
3.444426875	5.05517	5.360495625	3.8282975	10.05237563	8.011723125	7.703390625	9.55969875	4.4871075	4.780063125	5.027615	5.416341875	4.55158875	10.2399	9.46034375	12.0188875
